slang,normalized,meaning,category,language,example
brb rn,be right back,Temporary departure,abbreviation,english,
drip rn,fashion style,Variant phrase based on 'drip',gen_z,english,
omsim moment asap,oo mismo,Variant phrase based on 'omsim',filipino_slang,filipino,
very chika rn,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
ngl moment rn,not gonna lie,Variant phrase based on 'ngl',abbreviation,english,
imo no cap rn,in my opinion,Variant phrase based on 'imo',abbreviation,english,
alpha fr.,dominant person,Variant phrase based on 'alpha',gen_z,english,
touch grass rn rn,go outside,Variant phrase based on 'touch grass',gen_z,english,
china oil af!,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
sigma no cap pls,independent person,Variant phrase based on 'sigma',gen_alpha,english,
very touch grass rn,go outside,Variant phrase based on 'touch grass',gen_z,english,
vibe check rn??,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
petmalu rn,malupet,Amazing or cool,filipino_slang,filipino,
bussin fr tbh,delicious,Variant phrase based on 'bussin',gen_z,english,
ngl tbh,not gonna lie,Honest admission,abbreviation,english,
skibidi moment asap,nonsense meme,Variant phrase based on 'skibidi',gen_alpha,english,
bhie bro asap,friend,Variant phrase based on 'bhie',filipino_slang,filipino,
ratio,negative response,Getting more replies than likes,internet,english,
lowkey hanash.,topic,Variant phrase based on 'hanash',filipino_slang,filipino,
no cap moment asap,for real,Variant phrase based on 'no cap',gen_z,english,
charot pls,just kidding,Statement is not serious,filipino_slang,filipino,
literal ngl,not gonna lie,Variant phrase based on 'ngl',abbreviation,english,
charot moment,just kidding,Variant phrase based on 'charot',filipino_slang,filipino,
gyatt fr rn,wow,Variant phrase based on 'gyatt',gen_alpha,english,
highkey drip rn,fashion style,Variant phrase based on 'drip',gen_z,english,
touch grass af asap,go outside,Variant phrase based on 'touch grass',gen_z,english,
drip fr!,fashion style,Variant phrase based on 'drip',gen_z,english,
rizz bro tbh,charisma,Variant phrase based on 'rizz',gen_z,english,
lowkey touch grass,go outside,Variant phrase based on 'touch grass',gen_z,english,
flex bro!,show off,Variant phrase based on 'flex',gen_z,english,
idk fr??,i do not know,Variant phrase based on 'idk',abbreviation,english,
brb af.,be right back,Variant phrase based on 'brb',abbreviation,english,
literal keri??,can handle,Variant phrase based on 'keri',filipino_slang,filipino,
literal lmao tbh,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
touch grass no cap fr,go outside,Variant phrase based on 'touch grass',gen_z,english,
walwal moment!,party hard,Variant phrase based on 'walwal',filipino_slang,filipino,
lowkey clout asap,influence,Variant phrase based on 'clout',internet,english,
lowkey its giving pls,it resembles,Variant phrase based on 'its giving',gen_z,english,
lowkey understood the assignment??,did well,Variant phrase based on 'understood the assignment',gen_z,english,
gyatt rn!,wow,Variant phrase based on 'gyatt',gen_alpha,english,
literal hayup rn,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
alpha moment tbh,dominant person,Variant phrase based on 'alpha',gen_z,english,
lowkey sigma,independent person,Variant phrase based on 'sigma',gen_alpha,english,
sana all no cap asap,i wish everyone,Variant phrase based on 'sana all',filipino_slang,filipino,
fr af.,for real,Variant phrase based on 'fr',abbreviation,english,
touch grass af rn,go outside,Variant phrase based on 'touch grass',gen_z,english,
lowkey sana all,i wish everyone,Variant phrase based on 'sana all',filipino_slang,filipino,
lmao af rn,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
simp??,overly devoted person,Excessive admiration,internet,english,
lowkey bhie fr,friend,Variant phrase based on 'bhie',filipino_slang,filipino,
brainrot asap,obsessive content fixation,Mentally consumed by memes,gen_alpha,english,
sana all no cap fr,i wish everyone,Variant phrase based on 'sana all',filipino_slang,filipino,
ghosted,suddenly ignored,Ended communication abruptly,internet,english,
eme af,whatever,Variant phrase based on 'eme',filipino_slang,filipino,
very edi wow tbh,sarcastic reaction,Variant phrase based on 'edi wow',filipino_slang,filipino,
ghosted moment??,suddenly ignored,Variant phrase based on 'ghosted',internet,english,
caught in 4k rn!,caught clearly,Variant phrase based on 'caught in 4k',internet,english,
very brb asap,be right back,Variant phrase based on 'brb',abbreviation,english,
very ratio rn,negative response,Variant phrase based on 'ratio',internet,english,
bussin af pls,delicious,Variant phrase based on 'bussin',gen_z,english,
lowkey rn fr,slightly,Variant phrase based on 'lowkey',gen_z,english,
skibidi fr asap,nonsense meme,Variant phrase based on 'skibidi',gen_alpha,english,
china oil no cap asap,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
mid bro,average,Variant phrase based on 'mid',gen_z,english,
omsim moment??,oo mismo,Variant phrase based on 'omsim',filipino_slang,filipino,
flex no cap!,show off,Variant phrase based on 'flex',gen_z,english,
lowkey bhie!,friend,Variant phrase based on 'bhie',filipino_slang,filipino,
touch grass rn asap,go outside,Variant phrase based on 'touch grass',gen_z,english,
ngl af asap,not gonna lie,Variant phrase based on 'ngl',abbreviation,english,
npc af asap,unoriginal person,Variant phrase based on 'npc',gen_z,english,
brb rn rn,be right back,Variant phrase based on 'brb',abbreviation,english,
omsim moment.,oo mismo,Variant phrase based on 'omsim',filipino_slang,filipino,
its giving bro,it resembles,Variant phrase based on 'its giving',gen_z,english,
literal cook!,perform well,Variant phrase based on 'cook',gen_z,english,
no cap!,for real,Not lying or being serious,gen_z,english,
tbh af,to be honest,Variant phrase based on 'tbh',abbreviation,english,
china oil bro asap,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
slay no cap.,excellent,Variant phrase based on 'slay',gen_z,english,
copium bro tbh,false hope,Variant phrase based on 'copium',internet,english,
ate af asap,performed well,Variant phrase based on 'ate',gen_z,english,
lowkey werpa asap,power,Variant phrase based on 'werpa',filipino_slang,filipino,
bffr moment asap,be for real,Variant phrase based on 'bffr',abbreviation,english,
highkey ate and left no crumbs asap,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,
lowkey moment asap,slightly,Variant phrase based on 'lowkey',gen_z,english,
lowkey no cap rn,for real,Variant phrase based on 'no cap',gen_z,english,
very flex tbh,show off,Variant phrase based on 'flex',gen_z,english,
brainrot bro!,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
flex af,show off,Variant phrase based on 'flex',gen_z,english,
gigil moment fr,overwhelmed emotion,Variant phrase based on 'gigil',filipino_slang,filipino,
mood af rn,relatable feeling,Variant phrase based on 'mood',gen_z,english,
lowkey hayup rn,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
lowkey cap fr,lie,Variant phrase based on 'cap',gen_z,english,
lowkey no cap,slightly,Variant phrase based on 'lowkey',gen_z,english,
china oil fr,cheers,Congratulatory phrase,filipino_slang,filipino,
highkey slay tbh,excellent,Variant phrase based on 'slay',gen_z,english,
lmao af!,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
ate and left no crumbs bro!,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,
kilig af fr,romantic excitement,Variant phrase based on 'kilig',filipino_slang,filipino,
lods bro!,idol,Variant phrase based on 'lods',filipino_slang,filipino,
literal chika tbh,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
forda moment pls,for the,Variant phrase based on 'forda',filipino_slang,filipino,
slay no cap,excellent,Variant phrase based on 'slay',gen_z,english,
lodi rn??,idol,Variant phrase based on 'lodi',filipino_slang,filipino,
very jowa asap,partner,Variant phrase based on 'jowa',filipino_slang,filipino,
very ate and left no crumbs rn,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,
literal lods??,idol,Variant phrase based on 'lods',filipino_slang,filipino,
lowkey bro??,slightly,Variant phrase based on 'lowkey',gen_z,english,
very brainrot fr,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
highkey edi wow.,sarcastic reaction,Variant phrase based on 'edi wow',filipino_slang,filipino,
stan fr pls,obsessive fan,Variant phrase based on 'stan',internet,english,
brainrot rn??,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
idk moment!,i do not know,Variant phrase based on 'idk',abbreviation,english,
imo af,in my opinion,Variant phrase based on 'imo',abbreviation,english,
drip moment!,fashion style,Variant phrase based on 'drip',gen_z,english,
lowkey praning.,paranoid,Variant phrase based on 'praning',filipino_slang,filipino,
literal vibe check fr,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
praning af asap,paranoid,Variant phrase based on 'praning',filipino_slang,filipino,
literal sana all!,i wish everyone,Variant phrase based on 'sana all',filipino_slang,filipino,
lowkey copium!,false hope,Variant phrase based on 'copium',internet,english,
lowkey imo fr,in my opinion,Variant phrase based on 'imo',abbreviation,english,
let him cook moment!,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,
werpa fr,power,Variant phrase based on 'werpa',filipino_slang,filipino,
